[2026-02-06 14:59:53,740] 15 root-INFO-Initiate the DataIngestion
[2026-02-06 14:59:58,691] 53 root-INFO-Performed Train Test split
[2026-02-06 14:59:58,691] 57 root-INFO-Exporting train and test file path
[2026-02-06 14:59:58,722] 60 root-INFO-Exported train and test file
[2026-02-06 14:59:58,722] 17 root-INFO-Data Initiation completed
[2026-02-06 14:59:58,722] 22 root-INFO-Initiate the DataValidation
[2026-02-06 14:59:58,835] 31 root-INFO-Required no. of columns 2
[2026-02-06 14:59:58,835] 32 root-INFO-Number of columns in dataframe 31
[2026-02-06 14:59:58,835] 31 root-INFO-Required no. of columns 2
[2026-02-06 14:59:58,835] 32 root-INFO-Number of columns in dataframe 31
[2026-02-06 14:59:58,945] 24 root-INFO-Data Validation completed
[2026-02-06 14:59:58,945] 29 root-INFO-Data Transformation initiated
[2026-02-06 14:59:58,945] 38 root-INFO-Entered initiate data transformation function
[2026-02-06 14:59:58,963] 29 root-INFO-Entered Pipeline Transformation function
[2026-02-06 14:59:58,976] 31 root-INFO-Data Transformation completed
[2026-02-06 14:59:58,976] 36 root-INFO-Model Training initiated
[2026-02-06 15:02:24,378] 38 root-INFO-Model Training completed
